,ids,text,times,screen_names,names,hashtag1,hashtag2,hashtag3,url1,url2,url3,in reply to screen name,in reply to user id,in reply to status id,statuses count,friends count,followers count,lang of the account,location of the account
87,874688064060346368,"23°C in Paris
26°C in Lyon
27°C in Marseille
27°C in Bordeaux",Tue Jun 13 18:01:00 +0000 2017,coursegod,course,,,,,,,,,,64898,2478,996,en,there
88,874688099791581185,@EssaoSoumaia @Amxndiiine Pareil pour moi je voudrais trop aller à Lyon pour le vr et puis vendredi aller à Amnevil… https://t.co/FwB803hj6z,Tue Jun 13 18:01:08 +0000 2017,jessnou31,Jessica😘🇧🇪,,,,https://twitter.com/i/web/status/874688099791581185,,,EssaoSoumaia,2940553253,874681913704943616,2533,1360,266,fr,
89,874688137099956226,"RT @actionfrancaise: ""La République, c'est l'amour de tous les peuples, à l'exception du peuple français."" Charles Maurras https://t.co/yqB…",Tue Jun 13 18:01:17 +0000 2017,_TheJack34,AbaslaRipoublix†ن⚜,,,,,,,,,,29106,1421,1487,fr,Montpellier
90,874688149875703808,#OL OL – Mercato : Valbuena a vraiment été vendu au rabais (officiel) - https://t.co/eUWeRdbxuR #TeamOL https://t.co/bS7MByHgyA,Tue Jun 13 18:01:20 +0000 2017,FootLyon_com,Foot Lyon,OL,TeamOL,,https://www.foot-lyon.com/ol-mercato-valbuena-a-vraiment-ete-vendu-au-rabais-officiel/,,,,,,2417,18,22,fr,"Lyon, France"
91,874688169362509826,@EMalezas @MathieuVal8 Petit en taille mais grand dans l'esprit ! J'ai appris à l'apprécier à Lyon !,Tue Jun 13 18:01:25 +0000 2017,LucieBernardi,Princesse 👸🏽,,,,,,,EMalezas,1155300690,874684802150133762,1133,203,139,fr,"Lyon, Rhône-Alpes"
92,874688177969213440,RT @ExtremeVeille: Squat du GUD à Lyon : le Tribunal d'Instance ordonne l'expulsion - France 3 Auvergne-Rhône-Alpes https://t.co/UQcis4wJ9d,Tue Jun 13 18:01:27 +0000 2017,jeanlouisjourd1,Jourdan Marie-Ange,,,,http://fb.me/61GgRCL4A,,,,,,74822,1229,626,fr,
93,874688183140798464,"RT @actionfrancaise: ""La République, c'est l'amour de tous les peuples, à l'exception du peuple français."" Charles Maurras https://t.co/yqB…",Tue Jun 13 18:01:28 +0000 2017,Pelot_Dhennebon,Pelot Dhennebon,,,,,,,,,,6155,365,381,fr,
94,874688206918230016,"RT @lnstantFoot: OFFICIEL !

Le Fenerbahçe annonce l'arrivée au club de Mathieu Valbuena. Lyon devrait empocher 3M€ minimum. https://t.co/V…",Tue Jun 13 18:01:34 +0000 2017,pkouakou1610,Philippe Kouakou,,,,,,,,,,11657,38,371,fr,
95,874688243278761984,"#sex elle, 20 ans - elle 20 ans Lyon https://t.co/9detnggbJt",Tue Jun 13 18:01:42 +0000 2017,sandylacoquine,Sandy la Coquine,sex,,,http://ow.ly/zQ6q50c8oHJ,,,,,,8996,1927,3089,fr,
96,874688367140720640,@virgilabloh @OffWht Lyon https://t.co/MtEhSXBbz1,Tue Jun 13 18:02:12 +0000 2017,ElcozyMarino,ElcozyAlex,,,,,,,virgilabloh,21845792,,70,64,39,fr,
